0,< 0 DM,6,critical account/ other credits existing (not at this bank),domestic appliances,1169,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,5951,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes
0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),2096,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes
0,< 0 DM,42,existing credits paid back duly till now,radio/television,7882,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,if not A121 : building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,none,yes
1,< 0 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes
0,no checking account,36,existing credits paid back duly till now,(vacation - does not exist?),9055,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name ",yes
0,no checking account,24,existing credits paid back duly till now,radio/television,2835,500 <= ... < 1000 DM ,.. >= 7 years,3,male : single,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,12,existing credits paid back duly till now,domestic appliances,3059,.. >= 1000 DM ,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,unemployed,4,male : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
1,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year ,3,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,none,yes
1,< 0 DM,48,existing credits paid back duly till now,business,4308,... < 100 DM,... < 1 year ,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1567,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,< 0 DM,24,critical account/ other credits existing (not at this bank),car (new),1199,... < 100 DM,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,none,yes
0,< 0 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes
1,< 0 DM,24,existing credits paid back duly till now,domestic appliances,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,none,yes
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,2424,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,none,yes
0,< 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,... < 1 year ,2,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,24,existing credits paid back duly till now,domestic appliances,3430,500 <= ... < 1000 DM ,.. >= 7 years,3,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes
0,no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",48,none,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes
0,< 0 DM,6,existing credits paid back duly till now,domestic appliances,2647,500 <= ... < 1000 DM ,1 <= ... < 4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes
0,< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,... < 100 DM,... < 1 year ,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no
0,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 <= ... < 500 DM,... < 1 year ,3,male : single,none,4,if not A121 : building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,none,yes
0,no checking account,10,critical account/ other credits existing (not at this bank),radio/television,2069,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,no
0,< 0 DM,6,existing credits paid back duly till now,radio/television,1374,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
